Hour, Save $10 on 3 Can't-Miss Valentine's Bestsellers, SAVE 40% on Valentine's Bestsellers! While Supplies Last!," Valentine's Free Shipping/No Service Charge - Hurry, Ends Today!"
0,50,70,60
1,10,14,12
2,5,7,6
3,0,0,0
4,10,14,12
5,100,280,120
6,200,140,240
7,200,280,960
8,900,1120,1440
9,800,1260,240
10,100,140,120
11,200,420,1080
12,300,280,360
13,1200,400,240
14,300,1700,360
15,200,280,240
16,200,840,240
17,600,280,720
18,600,840,600
19,700,700,840
20,500,980,720
21,400,1120,480
22,800,500,240
23,200,280,960
